speakers,instances,precision,recall,accuracy
10,60,1.0,1.0,1.0
20,1,0.93,0.93,0.993
10,80,1.0,1.0,1.0
10,20,1.0,1.0,1.0
2,5,1.0,1.0,1.0
20,10,1.0,1.0,1.0
80,40,0.935,0.935,0.998375
5,40,1.0,1.0,1.0
40,5,0.95,0.95,0.9975
60,10,0.9566666666666667,0.9566666666666667,0.9985555555555555
80,5,0.92,0.92,0.998
5,5,1.0,1.0,1.0
40,10,0.955,0.955,0.99775
80,1,0.7975,0.7975,0.9949375
5,1,0.96,0.96,0.984
20,60,1.0,1.0,1.0
2,40,1.0,1.0,1.0
20,80,1.0,1.0,1.0
10,10,1.0,1.0,1.0
20,20,1.0,1.0,1.0
40,1,0.875,0.875,0.99375
2,1,1.0,1.0,1.0
60,80,0.92,0.92,0.9973333333333333
60,20,0.95,0.95,0.9983333333333333
40,60,0.97,0.97,0.9985
60,60,0.95,0.95,0.9983333333333333
40,20,0.96,0.96,0.998
20,5,0.99,0.99,0.999
40,80,0.97,0.97,0.9985
10,5,1.0,1.0,1.0
80,80,0.91,0.91,0.99775
80,20,0.95,0.95,0.99875
10,40,1.0,1.0,1.0
80,60,0.9425,0.9425,0.9985625
2,10,1.0,1.0,1.0
60,1,0.81,0.81,0.9936666666666667
5,60,1.0,1.0,1.0
5,20,1.0,1.0,1.0
5,80,1.0,1.0,1.0
2,60,1.0,1.0,1.0
20,40,0.99,0.99,0.999
80,10,0.9375,0.9375,0.9984375
2,80,1.0,1.0,1.0
2,20,1.0,1.0,1.0
40,40,0.985,0.985,0.99925
60,5,0.93,0.93,0.9976666666666667
10,1,0.94,0.94,0.988
5,10,1.0,1.0,1.0
60,40,0.9466666666666667,0.9466666666666667,0.9982222222222222
