speakers,instances,precision,recall,accuracy
10,60,1.0,1.0,1.0
20,1,0.82,0.82,0.982
10,80,0.96,0.96,0.992
10,20,1.0,1.0,1.0
2,5,1.0,1.0,1.0
20,10,0.97,0.97,0.997
80,40,0.935,0.935,0.998375
5,40,1.0,1.0,1.0
40,5,0.92,0.92,0.996
60,10,0.9633333333333334,0.9633333333333334,0.9987777777777778
80,5,0.8975,0.8975,0.9974375
5,5,1.0,1.0,1.0
40,10,0.965,0.965,0.99825
80,1,0.74,0.74,0.9935
5,1,1.0,1.0,1.0
20,60,0.96,0.96,0.996
2,40,1.0,1.0,1.0
20,80,0.97,0.97,0.997
10,10,0.98,0.98,0.996
20,20,0.99,0.99,0.999
40,1,0.75,0.75,0.9875
2,1,1.0,1.0,1.0
60,80,0.9166666666666666,0.9166666666666666,0.9972222222222222
60,20,0.9566666666666667,0.9566666666666667,0.9985555555555555
40,60,0.965,0.965,0.99825
60,60,0.9633333333333334,0.9633333333333334,0.9987777777777778
40,20,0.96,0.96,0.998
20,5,0.96,0.96,0.996
40,80,0.94,0.94,0.997
10,5,0.96,0.96,0.992
80,80,0.89,0.89,0.99725
80,20,0.935,0.935,0.998375
10,40,0.96,0.96,0.992
80,60,0.9425,0.9425,0.9985625
2,10,1.0,1.0,1.0
60,1,0.7733333333333333,0.7733333333333333,0.9924444444444445
5,60,1.0,1.0,1.0
5,20,1.0,1.0,1.0
5,80,1.0,1.0,1.0
2,60,1.0,1.0,1.0
20,40,0.96,0.96,0.996
80,10,0.925,0.925,0.998125
2,80,1.0,1.0,1.0
2,20,1.0,1.0,1.0
40,40,0.955,0.955,0.99775
60,5,0.93,0.93,0.9976666666666667
10,1,0.9,0.9,0.98
5,10,1.0,1.0,1.0
60,40,0.9533333333333334,0.9533333333333334,0.9984444444444445
