speakers,instances,precision,recall,accuracy
10,60,0.36,0.36,0.872
20,1,0.14,0.14,0.914
10,80,0.26,0.26,0.852
10,20,0.2,0.2,0.84
2,5,0.7,0.7,0.7
20,10,0.13,0.13,0.913
80,40,0.0625,0.0625,0.9765625
5,40,0.48,0.48,0.792
40,5,0.075,0.075,0.95375
60,10,0.06666666666666667,0.06666666666666667,0.9688888888888889
80,5,0.0475,0.0475,0.9761875
5,5,0.48,0.48,0.792
40,10,0.06,0.06,0.953
80,1,0.0375,0.0375,0.9759375
5,1,0.52,0.52,0.808
20,60,0.22,0.22,0.922
2,40,1.0,1.0,1.0
20,80,0.23,0.23,0.923
10,10,0.24,0.24,0.848
20,20,0.11,0.11,0.911
40,1,0.09,0.09,0.9545
2,1,1.0,1.0,1.0
60,80,0.06666666666666667,0.06666666666666667,0.9688888888888889
60,20,0.07666666666666666,0.07666666666666666,0.9692222222222222
40,60,0.09,0.09,0.9545
60,60,0.09333333333333334,0.09333333333333334,0.9697777777777777
40,20,0.06,0.06,0.953
20,5,0.15,0.15,0.915
40,80,0.12,0.12,0.956
10,5,0.28,0.28,0.856
80,80,0.0475,0.0475,0.9761875
80,20,0.05,0.05,0.97625
10,40,0.2,0.2,0.84
80,60,0.0975,0.0975,0.9774375
2,10,1.0,1.0,1.0
60,1,0.06333333333333334,0.06333333333333334,0.9687777777777777
5,60,0.52,0.52,0.808
5,20,0.48,0.48,0.792
5,80,0.52,0.52,0.808
2,60,1.0,1.0,1.0
20,40,0.15,0.15,0.915
80,10,0.0625,0.0625,0.9765625
2,80,1.0,1.0,1.0
2,20,0.9,0.9,0.9
40,40,0.11,0.11,0.9555
60,5,0.056666666666666664,0.056666666666666664,0.9685555555555555
10,1,0.32,0.32,0.864
5,10,0.48,0.48,0.792
60,40,0.07,0.07,0.969
